	Title	OAI	Authors	Full Text	Harvest date	DOI	Unnamed: 0	paper_id	ref	citedBy	publish_year
0	Forecasting Errors in the Averseness of Apologizing	oai:dspace-production:1810/245583	Joost M. Leunissen, David De Cremer, Marius van Dijke and Christopher P. Reinders Folmer	No	2016-05-18T11:30:26Z	10.1007/s11211-014-0216-4	98084745	0575CAA5	0	0	2014
1	Forecasting Errors in the Averseness of Apologizing	oai:dspace-production:1810/245583	Joost M. Leunissen, David De Cremer, Marius van Dijke and Christopher P. Reinders Folmer	No	2016-05-18T11:30:26Z	10.1007/s11211-014-0216-4	98084969	7C4C0A9B	27	0	2014
2	Demonstration of the Feasibility of Large Port Count Optical Switching Using a Hybrid MZI SOA Switch Module in a Recirculating Loop	oai:dspace-production:1810/245628	Q. Cheng, A. Wonfor, J. L. Wei, R. V. Penty and I. H. White	No	2016-05-18T11:30:26Z	10.1364/OL.39.005244	5193303	7AE873A6	6	1	2014
3	Succession Narratives in Family Business: The Case of Alessi	oai:dspace-production:1810/245758	Elena Dalpiaz, Paul Tracey and Nelson Phillips	No	2016-05-18T11:30:27Z	10.1111/etap.12129	104930219	7CBECE17	35	0	2014
4	Mechanical and hydration properties of ground granulated blastfurnace slag pastes activated with MgO-CaO mixtures	oai:dspace-production:1810/245765	Mai Gu, Fei Jin, Abir Al-Tabbaa, Bin Shi and Jin Liu	No	2016-05-18T11:30:27Z	10.1016/j.conbuildmat.2014.07.032	123303021	7CAFAAE8	42	2	2014
5	Cognitive function in a general population of men and women: A cross sectional study in the European Investigation of Cancer?Norfolk cohort (EPIC-Norfolk)	oai:dspace-production:1810/245687	Shabina A. Hayat, Robert Luben, Stephanie Moore, Nichola Dalzell, Amit Bhaniani, Serena Anuj, Fiona E. Matthews, Nick Wareham, Kay-Tee Khaw and Carol Brayne	No	2016-05-18T11:30:27Z	10.1186/1471-2318-14-142	92173896	5B8BEB89	46	2	2014
6	Germ cells of the centipede Strigamia maritima are specified early in embryonic development	oai:dspace-production:1810/245721	Jack E. Green and Michael Akam	No	2016-05-18T11:30:27Z	10.1016/j.ydbio.2014.06.003	109675071	78CBEB0A	42	1	2014
7	Effective Judgmental Forecasting in the Context of Fashion Products	oai:dspace-production:1810/247616	Matthias Seifert, Enno Siemsen, All?gre L. Hadida and Andreas Eisengerich	No	2016-05-18T11:30:50Z	10.1016/j.jom.2015.02.001	17571829	799771E5	97	0	2015
8	Analysis of the cyanobacterial hydrogen photoproduction process via model identification and process simulation	oai:dspace-production:1810/247464	Dongda Zhang, Pongsathorn Dechatiwongse, Ehecatl Antonio Del-Rio-Chanona, Klaus Hellgardt, Geoffrey C. Maitland and Vassilios S. Vassiliadis	No	2016-05-18T11:30:46Z	10.1016/j.ces.2015.01.059	98376536	7C38AF3E	19	3	2015
9	What chickens would tell you about the evolution of antigen processing and presentation	oai:dspace-production:1810/247144	Jim Kaufman	No	2016-05-18T11:30:43Z	10.1016/j.coi.2015.01.001	95517325	7C3B3AEC	68	1	2015
10	Nested Sampling for Bayesian Model Comparison in the Context of Salmonella Disease Dynamics	oai:dspace-production:1810/247327	Richard Dybowski, Trevelyan J. McKinley, Pietro Mastroeni and Olivier Restif	No	2016-05-18T11:30:45Z	10.1371/journal.pone.0082317	124386448	7BF6E75E	28	2	2013
11	BitPhylogeny: A probabilistic framework for reconstructing intra-tumor phylogenies	oai:dspace-production:1810/247261	Ke Yuan, Thomas Sakoparnig, Florian Markowetz and Niko Beerenwinkel	No	2016-05-18T11:30:44Z	10.1186/s13059-015-0592-6	3359418	8088388F	51	1	2015
12	Lesions of either anterior orbitofrontal cortex or ventrolateral prefrontal cortex in marmoset monkeys heighten innate fear and attenuate active coping behaviors to predator threat	oai:dspace-production:1810/247204	Yoshiro Shiba, Charissa Kim, Andrea M. Santangelo and Angela C. Roberts	No	2016-05-18T11:30:44Z	10.3389/fnsys.2014.00250	107592216	77EA8DE8	84	0	2015
