title,doi
"Interview with Professor Lucy Mair",NULL
"53 minute video on doing fieldwork",NULL
"Reflections on fieldwork among the Gurungs of Nepal",NULL
"Reflections on using film in fieldwork",NULL
"Lecture on fieldwork in the Soviet Union, 1988-9",NULL
"CSSA Spring Festival Gala 2004",NULL
"Lecsture on ‘Sir J.G.Frazer: Science and Sensibility’",NULL
"Gerry Martin at a Seminar",NULL
Interview,NULL
"Interview with Pat Caplan",NULL
"JPEG File Interchange Format",NULL
"The Independent JPEG Group's JPEG software",NULL
"So That Men Are Free",NULL
"20020102: Rock (1), panel (12)",NULL
"20020104: Rock (1), panel (12)",NULL
"20020106: Rock (1), panel (1)",NULL
"20020108: Rock (1), panel (1)",NULL
"20020110: Rock (1), panel (2)",NULL
"20020113: Rock (1), panel (1)",NULL
"20020116: Rock (2), panel (14)",NULL
"20020118: Rock (2), panel (14)",NULL
"20020120: Rock (2), panel (4)",NULL
"20020122: Rock (2), panel (4)",NULL
"20020124: Rock (2), panel (4)",NULL
"20020126: Rock (unknown), panel (unknown)",NULL
"20020128: Rock (unknown), panel (unknown)",NULL
"20020204: Rock (1), panel (5)",NULL
"20020208: Rock (1), panel (5)",NULL
"20020210: Rock (1), panel (15)",NULL
"20020212: Rock (1), panel (15)",NULL
"20020215: Rock (1), panel (15)",NULL
"20020216: Rock (1), panel (15)",NULL
"20020218: Rock (1), panel (15)",NULL
"20020222: Rock (1), panel (15)",NULL
"20020224: Rock (1), panel (15)",NULL
"20020226: Rock (1), panel (15)",NULL
"20020228: Rock (1), panel (15)",NULL
"20020230: Rock (1), panel (15)",NULL
"20020232: Rock (1), panel (15)",NULL
"20020233: Rock (1), panel (15)",NULL
"20020234: Rock (1), panel (15)",NULL
"20020235: Rock (1), panel (15)",NULL
"20020237: Rock (1), panel (15)",NULL
"20020302: Rock (1), panel (15)",NULL
"20020304: Rock (1), panel (15)",NULL
"20020306: Rock (3), panel (13)",NULL
"20020308: Rock (3), panel (13)",NULL
"20020310: Rock (3), panel (13)",NULL
"20020314: Rock (3), panel (13)",NULL
"20020316: Rock (3), panel (13)",NULL
"20020317: Rock (11), panel (11)",NULL
"20020320: Rock (5), panel (10)",NULL
"20020322: Rock (5), panel (10)",NULL
"20020324: Rock (5), panel (10)",NULL
"20020326: Rock (5), panel (10)",NULL
"20020328: Rock (5), panel (10)",NULL
"20020330: Rock (5), panel (10)",NULL
"20020332: Rock (5), panel (10)",NULL
"20020334: Rock (5), panel (10)",NULL
"20020336: Rock (6), panel (0)",NULL
"20020402: Rock (5), panel (10)",NULL
"20020404: Rock (5), panel (10)",NULL
"20020406: Rock (5), panel (10)",NULL
"20020408: Rock (3), panel (8)",NULL
"20020410: Rock (3), panel (8)",NULL
"20020414: Rock (3), panel (8)",NULL
"20020416: Rock (3), panel (8)",NULL
"20020418: Rock (3), panel (8)",NULL
"20020420: Rock (3), panel (8)",NULL
"20020421: Rock (3), panel (8)",NULL
"20020426: Rock (unknown), panel (unknown)",NULL
"20020428: Rock (unknown), panel (unknown)",NULL
"20020429: Rock (unknown), panel (unknown)",NULL
"20020432: Rock (unknown), panel (unknown)",NULL
"20020434: Rock (unknown), panel (unknown)",NULL
"20020436: Rock (unknown), panel (unknown)",NULL
"20020502: Rock (8), panel (16)",NULL
"20020504: Rock (8), panel (16)",NULL
"20020506: Rock (8), panel (16)",NULL
"20020508: Rock (8), panel (16)",NULL
"20020510: Rock (8), panel (16)",NULL
"20020512: Rock (8), panel (16)",NULL
"20020515: Rock (9), panel (17)",NULL
"20020516: Rock (9), panel (17)",NULL
"20020517: Rock (9), panel (17)",NULL
"20020518: Rock (9), panel (17)",NULL
"20020530: Rock (9), panel (17)",NULL
"20020532: Rock (9), panel (17)",NULL
"20020533: Rock (9), panel (17)",NULL
"20020535: Rock (9), panel (17)",NULL
"20020537: Rock (9), panel (17)",NULL
"20020602: Rock (10), panel (17.5)",NULL
"20020605: Rock (10), panel (17.5)",NULL
"20020608: Rock (11), panel (18)",NULL
"20020610: Rock (11), panel (18)",NULL
"20020612: Rock (11), panel (18)",NULL
"20020615: Rock (11), panel (18)",NULL
"20020616: Rock (11), panel (18)",NULL
"20020618: Rock (11), panel (18)",NULL
"20020620: Rock (10), panel (17.5)",NULL
"20020622: Rock (10), panel (17.5)",NULL
"20020631: Rock (unknown), panel (unknown)",NULL
"20020632: Rock (unknown), panel (unknown)",NULL
"20020633: Rock (12), panel (19)",NULL
"20020710: Rock (13), panel (20)",NULL
