The Gaia hypothesis: Conjectures and refutations	2003	The uncertainties surrounding global climate change provide ample evidence, if any were necessary, of the need for a whole-system view of the Earth. Arguably the most visible - and controversial - attempt to understand Earth as a system has been Lovelock's Gaia theory. Gaia has been a fruitful hypothesis generator, and has prompted many intriguing conjectures about how biological processes might contribute to planetary-scale regulation of atmospheric chemistry and climate. In many important cases, however, these conjectures are refuted by the available data. For example, Gaia theory predicts that the composition of the atmosphere should be tightly regulated by biological processes, but rates of carbon uptake into the biosphere have accelerated by only about 2% in response to the 35% rise in atmospheric CO2 since pre-industrial times. Gaia theory would predict that atmospheric CO2 should be more sensitively regulated by terrestrial ecosystem uptake (which is biologically mediated) than by ocean uptake (which is primarily abiotic), but both processes are about equally insensitive to atmospheric CO2 levels. Gaia theory predicts that biological feedbacks should make the Earth system less sensitive to perturbation, but the best available data suggest that the net effect of biologically mediated feedbacks will be to amplify, not reduce, the Earth system's sensitivity to anthropogenic climate change. Gaia theory predicts that biological by-products in the atmosphere should act as planetary climate regulators, but the Vostok ice core indicates that CO2, CH4, and dimethyl sulfide - all biological by-products - function to make the Earth warmer when it is warm, and colder when it is cold. Gaia theory predicts that biological feedbacks should regulate Earth's climate over the long term, but peaks in paleotemperature correspond to peaks in paleo-CO2 in records stretching back to the Permian; thus if CO2 is biologically regulated as part of a global thermostat, that thermostat has been hooked up backwards for at least the past 300 million years. Gaia theory predicts that organisms alter their environment to their own benefit, but throughout most of the surface ocean (comprising more than half of the globe), nutrient depletion by plankton has almost created a biological desert, and is kept in check only by the nutrient starvation of the plankton themselves. Lastly, where organisms enhance their environment for themselves, they create positive feedback; thus Gaia theory's two central principles - first, that organisms stabilize their environment, and second, that organisms alter their environment in ways that benefit them - are mutually inconsistent with one another. These examples suggest that the further development of Gaia theory will require more deliberate comparison of theory and data.	Climatic Change	{u'scopus': u'2-s2.0-0037499733', u'doi': u'10.1023/A:1023494111532', u'isbn': u'0165-0009', u'issn': u'01650009'}	http://www.mendeley.com/research/gaia-hypothesis-conjectures-refutations
The Gaia hypothesis: A fruitful fallacy?	1990	In. 1968, Lovelock proposed that the Earth's bioshpere, atmosphere, oceans, and soils form a single living organism, which he called Gaia after the Greek Earth goddess. This entity constitutes a feedback system which supposedly seeks an optimal physical and chemical environment for life on Earth. Most scientists accept a weaker version of the hypothesis, that life has had a tremendous impact on the physical environment. They reject the strong version on the basis that planetary self- regulation would need foresight and planning by living organisms, which is incompatible with natural selection. Lovelock subsequently proposed a simple computer model, called Daisyworld, which shows that, under certain conditions, feedback systems without foresight can stablize external inputs. The main value of the Gaia hypothesis lies in its holistic perspective, which is needed to avoid environmentally undesirable, cumulative effects of small decisions	Experientia	{u'scopus': u'2-s2.0-0025304614', u'doi': u'10.1007/BF01951752', u'issn': u'0014-4754'}	http://www.mendeley.com/research/gaia-hypothesis-fruitful-fallacy
Toward a future for gaia theory: An editorial comment	2002	The three papers in this issue of Climatic Change (Kirchner, 2002; Kleidon, 2002; Lenton, 2002) are probably the most concentrated effort in recent years by several prominent theoreticians of the biosphere to set forth their views on the current status and future of Gaia theory. (Also see the forthcoming volume byM.I.T. Press of the proceedings from the Second Chapman Conference on the Gaia Hypothesis, Valencia, Spain, 2000.)	Climatic Change	{u'scopus': u'2-s2.0-0036126427', u'pmid': u'24685567', u'issn': u'01650009', u'doi': u'10.1023/A:1014218227825'}	http://www.mendeley.com/research/toward-future-gaia-theory-editorial-comment
Do evolution and ecology need the Gaia hypothesis?	2007	Gaia theory, which describes the life-environment system of the Earth as stable and self-regulating, has remained at the fringes of mainstream biological science owing to its historically inadequate definition and apparent incompatibility with individual-level natural selection. The key issue is whether and why the biosphere might tend towards stability and self-regulation. We review the various ways in which these issues have been addressed by evolutionary and ecological theory, and relate these to 'Gaia theory'. We then ask how this theory extends the perspectives offered by these disciplines, and how it might be tested by novel modelling approaches and laboratory experiments using emergent technologies. ?? 2007 Elsevier Ltd. All rights reserved.	Trends in Ecology and Evolution	{u'scopus': u'2-s2.0-36248978124', u'pmid': u'17954000', u'issn': u'01695347', u'isbn': u'0169-5347', u'doi': u'10.1016/j.tree.2007.07.007'}	http://www.mendeley.com/research/evolution-ecology-need-gaia-hypothesis
Darwinian evolution does not rule out the Gaia hypothesis	2002	This study explores so-called Darwinian Daisyworlds mathematically rigorously in detail. The original Daisyworld was introduced by Watson & Lovelock (1983) to demonstrate how two species of daisies regulate the global temperature of their planet through competition among these species against the rising solar luminosity, i.e. the Gaia hypothesis. Its variants are Darwinian Daisyworlds in which daisies can adapt themselves to the local temperature. Robertson & Robinson (1998) insist their Darwinian daisies lose the ability for temperature regulation on the basis of their spreadsheet simulations. Lenton & Lovelock (2000) point out that the constraints on adaptation recovers Darwinian daisies' ability of temperature regulation on the basis of their Euler-code simulations. The present study shows there exist the exact and closed-form solutions to these two Daisyworlds. The results contradict the former studies: Robertson and Robinson's daisies do regulate the global temperature even longer than non-adaptive daisies; Lenton and Lovelock's daisies are less adaptive than Robertson and Robinson's daisies because of the constraints on adaptation; the introduction of weak adaptability drives species into a dead end of evolution. Thus, the present results confirm that the Gaia hypothesis and Darwinian evolution can coexist. ?? 2002 Elsevier Science Ltd. All rights reserved.	Journal of Theoretical Biology	{u'scopus': u'2-s2.0-0036405110', u'pmid': u'12384048', u'doi': u'10.1016/S0022-5193(02)93091-2', u'isbn': u'8145413656', u'issn': u'00225193'}	http://www.mendeley.com/research/darwinian-evolution-not-rule-gaia-hypothesis
The Gaia hypothesis: Fact, theory, and wishful thinking	2002	Organisms can greatly affect their environments, and the feedback coupling between organisms and their environments can shape the evolution of both. Beyond these generally accepted facts, the Gaia hypothesis advances three central propositions: (1) that biologically mediated feedbacks contribute to environmental homeostasis, (2) that they make the environment more suitable for life, and (3) that such feedbacks should arise by Darwinian natural selection. These three propositions do not fare well under close scrutiny. (1) Biologically mediated feedbacks are not intrinsically homeostatic. Many of the biological mechanisms that affect global climate are destabilizing, and it is likely that the net effect of biological feedbacks will be to amplify, not dampen, global warming. (2) Nor do biologically mediated feedbacks necessarily enhance the environment, although it will often appear as if this were the case, simply because natural selection will favor organisms that do well in their environments which means doing wellunder the conditions that they and their co-occurring species have created. (3) Finally, Gaian feedbacks can evolve by natural selection, but so can anti-Gaian feedbacks. Daisyworld models evolve Gaian feedback because they assume that any trait that improves the environment will also give a reproductive advantage to its carriers (over other organisms that share the same environment). In the real world, by contrast, natural selection favors any trait that gives its carriers a reproductive advantage over its non-carriers, whether it improves or degrades the environment (and thereby benefits or hinders its carriers and non-carriers alike). Thus Gaian and anti-Gaian feedbacks are both likely to evolve.	Climatic Change	{u'scopus': u'2-s2.0-0036128302', u'pmid': u'11169521', u'issn': u'01650009', u'isbn': u'0165-0009', u'doi': u'10.1023/A:1014237331082'}	http://www.mendeley.com/research/gaia-hypothesis-fact-theory-wishful-thinking
Exploring Gaia theory: Artificial life on a planetary scale	2000	Gaia theory, the view that the biota can both affect their environment and do so in a manner that benefits life in general, is an extremely controversial interpretation of the complex relationships between the biota and biosphere. Since individual Gaian phenomena can span spatial scales fi om cellular to planetary, they evade thorough analysis and empirical validation. Consequently, a good deal of Gaian thinking revolves around an abstract computer model, Daisyworld [24]. However, this model fails to properly account for natural selection's role in Gaian emergence, Although we propose an alternate scheme that offers some improvement - one based on evolutionary computation and individual-based simulation - the field remains wide open for investigations from the alife perspective. This paper reviews both models along with a few natural Gaian phenomena before generalizing a set of common primitive features and emergent properties from the real, and artificial examples. These shared characteristics will hopefully provide a backbone for a much-desired "Gaia-logic" and assist other alife researchers in the search far additional Gaian models.	Artificial Life Vii	{u'scopus': u'2-s2.0-26044453738', u'isbn': u'1089-4365'}	http://www.mendeley.com/research/exploring-gaia-theory-artificial-life-planetary-scale
A reappraisal of the terrestrial nitrogen cycle: What can we learn by extracting concepts from Gaia theory?	2008	Although soil scientists and most environmental scientists are acutely aware of the interactions between the cycling of carbon and nitrogen, for conceptual convenience when portraying the nitrogen cycle in text books the N cycle tends to be considered in isolation from its interactions with the cycling of other elements and water, usually as a snap shot at the current time; the origins of dinitrogen are rarely considered, for example. The authors suggest that Lovelock's Gaia hypothesis provides a useful and stimulating framework for consideration of the terrestrial nitrogen cycle. If it is used, it suggests that urbanization and management of sewage, and intensive animal rearing are probably bigger global issues than nitrogen deposition from fossil fuel combustion, and that plant evolution may be driven by the requirement of locally sustainable and near optimal soil mineral N supply dynamics. This may, in turn, be partially regulating global carbon and oxygen cycles. It is suggested that pollutant N deposition may disrupt this essential natural plant and terrestrial ecosystem evolutionary process, causing biodiversity change. Interactions between the Earth and other bodies in the solar system, and possibly beyond, also need to be considered in the context of the global N cycle over geological time scales. This is because of direct potential impacts on the nitrogen content of the atmosphere, potential long-term impacts of past boloid collisions on plate tectonics and thus on global N cycling via subduction and volcanic emissions, and indirect effects upon C, O and water cycling that all may impact upon the N cycle in the long term. ?? 2008 Elsevier B.V. All rights reserved.	Science of the Total Environment	{u'scopus': u'2-s2.0-54149115872', u'pmid': u'18678394', u'issn': u'00489697', u'isbn': u'0048-9697', u'doi': u'10.1016/j.scitotenv.2008.06.047'}	http://www.mendeley.com/research/reappraisal-terrestrial-nitrogen-cycle-we-learn-extracting-concepts-gaia-theory
Special theme: The Gaia hypothesis	2002	The Gaia hypothesis, a controversial theory about the degree to which life on Earth controls the planetary environment (e.g., Lovelock, 2000), has long been critiqued because of the difficulty of testing various sub-hypotheses. In part, this difficulty arose owing to a lack of clarity about critical definitions – e.g., what precisely was meant by ‘life’, ‘environmental control’, ‘benefit for life’, ‘self-regulation’, etc. (e.g., see my recent book review, Schneider, 2001, for an entry point to this debate). In this issue of Climatic Change, the first paper by Axel Kleidon aims to advance debate over the Gaia hypothesis by providing precise definitions of terms in order to faciliate empirical tests. However, like almost anything written about the Gaia hypothesis, controversy still abounds. Therefore, I am grateful that three insightful scientists with keen interests in this topic – JamesW. Kirchner, Timothy M. Lenton, and Tyler Volk – have agreed to write short papers using the Kleidon article as a springboard to present their varying views on the Gaia hypothesis. I hope that this diverse collection of opinions and analyses on Gaia will be of interest to the interdisciplinary climatological community and will contribute to the ongoing debate on the interactions of life with the rest of the environment.	Climatic Change	{u'scopus': u'2-s2.0-0036130196', u'pmid': u'20683451', u'doi': u'10.1023/A:1014275902462', u'issn': u'1678-4758'}	http://www.mendeley.com/research/special-theme-gaia-hypothesis
Hands up for the Gaia hypothesis	1990	The concept of Gaia, a self-regulating Earth, excites both admiration and obloquy. Its inventor (or rather re-discoverer) describes the genesis and evolution of the hypothesis.	Nature	{u'scopus': u'2-s2.0-0025287895', u'issn': u'0028-0836', u'doi': u'10.1038/344100a0'}	http://www.mendeley.com/research/hands-up-gaia-hypothesis
